"variable"	"raw.sample.size"	"n.languages"	"n.levels"	"source"	"set.fisher.p"	"set.CP.significant.residuals"	"set.Other.significant.residuals"	"mcmc.fisher.p"	"mcmc.CP.significant.residuals"	"mcmc.Other.significant.residuals"	"ml.fisher.p"	"ml.CP.significant.residuals"	"ml.Other.significant.residuals"	"problems"
"autotyp.agreement$POLYAGR.STRICT"	331	331	2	"AUTOTYP"	0.00035620542054271	"-without+POLYAGR"	"+without-POLYAGR"	0.00039829027662859	"+POLYAGR"	"+without-POLYAGR"	0.00184283195124126	"-without+POLYAGR"	"+without-POLYAGR"	NA
"autotyp.agreement$case.agr.balance"	341	341	3	"AUTOTYP"	0.108449302704146	""	""	0.208182103690336	""	""	0.341572118510003	""	""	NA
"autotyp.agreement$POLYAGR.LOOSE"	335	335	2	"AUTOTYP"	0.182441168397787	""	""	0.173363303254359	""	""	0.173363303254359	""	""	NA
"autotyp.alienability$boundn"	262	262	2	"AUTOTYP"	0.120376803206455	""	""	0.0630504786275996	""	"-bound_nouns"	0.0972034273106622	""	"-bound_nouns"	NA
"autotyp.alienability$POSS.CLASS"	262	262	4	"AUTOTYP"	0.013940106318524	""	"-1"	0.0417638095772427	""	""	0.250900639045324	""	""	NA
"autotyp.alienability$multpossclass"	274	274	2	"AUTOTYP"	0.145718535540972	""	""	0.145718535540972	""	""	0.558483937774281	""	""	NA
"autotyp.alienability$No._alienable_classes"	251	251	5	"AUTOTYP"	0.0598973112168227	""	""	0.0794151214101017	""	""	0.527939466981212	""	""	NA
"autotyp.alienability$No.INAL.CLASS"	255	255	8	"AUTOTYP"	0.0143264712321515	""	""	0.0801439477102973	""	""	0.373848854447745	""	""	NA
"autotyp.alienability$POSS.CLASS.AGGR"	274	274	2	"AUTOTYP"	0.0468550064308853	""	"-poss_classes+no_poss_classes"	0.0698487099894998	"+poss_classes-no_poss_classes"	"-poss_classes+no_poss_classes"	0.112130784838596	""	""	NA
"autotyp.alienability$posscl_all"	282	282	2	"AUTOTYP"	0.0749409830585506	""	""	0.0431603792920617	""	"-any_poss_class+no_poss_class"	0.196087749689565	""	""	NA
"autotyp.alienability$INAL.CLASS"	255	255	2	"AUTOTYP"	0.0187668027254474	""	"+has_no_inalienable_class"	0.0187668027254474	""	"+has_no_inalienable_class"	0.184111502245515	""	""	NA
"autotyp.alienability$Covert_classes_BoundCat"	262	262	2	"AUTOTYP"	0.062073115926703	""	"-some"	0.062073115926703	""	"-some"	0.0972034273106622	""	"-some"	NA
"autotyp.alienability$No.ALIEN.CLASS.BINNED"	251	251	2	"AUTOTYP"	0.0187668027254474	""	"+none"	0.0187668027254474	""	"+none"	0.0937257194923122	""	"+none"	NA
"autotyp.alienability$No.INAL.CLASS.BINNED"	255	255	2	"AUTOTYP"	0.0187668027254474	""	"+none"	0.0395336849047268	""	"+none"	0.0985437090672416	""	""	NA
"autotyp.alienability$Overt_Classes_numberCat"	273	273	2	"AUTOTYP"	0.211010839467819	""	""	0.211010839467819	""	""	0.378083491461101	""	""	NA
"autotyp.alignment.per.language$case.dominant.alignment2"	641	641	6	"AUTOTYP"	0.318870238245717	""	""	0.244686268887996	""	""	0.22995286228906	""	""	NA
"autotyp.alignment.per.language$case.dominant.alignment.obj"	344	344	5	"AUTOTYP"	0.187928289518253	""	""	0.523473645751208	""	""	0.607843137254902	""	""	NA
"autotyp.alignment.per.language$case.wals.alignmentP"	379	379	3	"WALS"	0.1219595112417	""	""	0.0389909303164649	""	"-erg"	0.0389909303164649	""	"-erg"	NA
"autotyp.alignment.per.language$case.wals.alignmentN"	310	310	3	"WALS"	0.100558602730723	""	""	0.0264933276166001	""	""	0.113965908603573	""	""	NA
"autotyp.alignment.per.language$agr.syn.ergativity.degree"	315	315	3	"AUTOTYP"	0.621167142006889	""	""	1	""	""	1	""	""	NA
"autotyp.alignment.per.language$agr.syn.accusativity.degree"	315	315	3	"AUTOTYP"	0.0573570592714099	"+0"	"-0"	0.147464977188825	""	""	0.226413860738803	""	""	NA
